doc_id,source,category,file_path,file_name,status,priority
dnv_dnv_class_2026_04_dnv_cp_0097_fe1d48f3,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0097.pdf,DNV-CP-0097.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0098_e13fa9b8,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0098.pdf,DNV-CP-0098.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0099_7b2316f2,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0099.pdf,DNV-CP-0099.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0100_56e785cd,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0100.pdf,DNV-CP-0100.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0106_ceab7dc7,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0106.pdf,DNV-CP-0106.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0107_9e17ec61,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0107.pdf,DNV-CP-0107.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0108_6f34d251,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0108.pdf,DNV-CP-0108.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0109_b17263c4,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0109.pdf,DNV-CP-0109.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0110_b84cabfd,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0110.pdf,DNV-CP-0110.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0139_96295a89,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0139.pdf,DNV-CP-0139.pdf,pending,3
dnv_dnv_class_2026_04_dnv_cp_0140_b40a3e25,DNV,GENERAL,C:/projects/MaritimeRAG/data/raw_pdfs/dnv-class_2026-04/DNV-CP-0140.pdf,DNV-CP-0140.pdf,pending,3
